Indicator,Country,Date,value
Cumulative number of probable Ebola deaths,Spain,8/19/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/19/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/19/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/19/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/19/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/19/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/19/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/20/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,8/20/2015,3151
Cumulative number of probable Ebola cases,Liberia,8/20/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/20/2015,13518
Cumulative number of confirmed Ebola cases,Sierra Leone,8/20/2015,8697
Cumulative number of probable Ebola cases,Sierra Leone,8/20/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,8/20/2015,4534
Cumulative number of suspected Ebola cases,Guinea,8/20/2015,6
Cumulative number of confirmed Ebola deaths,Guinea,8/20/2015,2074
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/20/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/20/2015,3952
Cumulative number of probable Ebola deaths,Sierra Leone,8/20/2015,208
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/20/2015,2526
Cumulative number of probable Ebola deaths,Guinea,8/20/2015,452
Cumulative number of suspected Ebola cases,Liberia,8/20/2015,5636
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/20/2015,3586
Cumulative number of suspected Ebola deaths,Sierra Leone,8/20/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/20/2015,3792
Cumulative number of confirmed Ebola cases,Guinea,8/20/2015,3334
Cumulative number of probable Ebola cases,Guinea,8/20/2015,452
Cumulative number of confirmed Ebola deaths,Liberia 2,8/20/2015,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/20/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/20/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,8/20/2015,6
Cumulative number of probable Ebola cases,Liberia 2,8/20/2015,0
Cumulative number of confirmed Ebola cases,Italy,8/20/2015,1
Cumulative number of probable Ebola cases,Italy,8/20/2015,0
Cumulative number of suspected Ebola cases,Italy,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/20/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/20/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/20/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/20/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/20/2015,7
Cumulative number of probable Ebola cases,Mali,8/20/2015,1
Cumulative number of suspected Ebola cases,Mali,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/20/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/20/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/20/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/20/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/20/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/20/2015,1
Cumulative number of probable Ebola cases,Senegal,8/20/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/20/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/20/2015,1
Cumulative number of probable Ebola cases,Spain,8/20/2015,0
Cumulative number of suspected Ebola cases,Spain,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/20/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/20/2015,4
Cumulative number of probable Ebola cases,United States of America,8/20/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/20/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/20/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/20/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/20/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/20/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/20/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/20/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/20/2015,0
Cumulative number of probable Ebola deaths,Spain,8/20/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/20/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/20/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/20/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/20/2015,1
Cumulative number of confirmed Ebola cases,Liberia,8/21/2015,3151
Cumulative number of probable Ebola cases,Liberia,8/21/2015,1879
Cumulative number of suspected Ebola cases,Liberia,8/21/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/21/2015,4806
Cumulative number of probable Ebola cases,Sierra Leone,8/21/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,8/21/2015,4549
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/21/2015,3952
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/21/2015,3586
Cumulative number of probable Ebola deaths,Guinea,8/21/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/21/2015,10666
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/21/2015,13533
Cumulative number of suspected Ebola deaths,Sierra Leone,8/21/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/21/2015,3795
Cumulative number of confirmed Ebola deaths,Guinea,8/21/2015,2074
Cumulative number of confirmed Ebola cases,Sierra Leone,8/21/2015,8697
Cumulative number of probable Ebola deaths,Sierra Leone,8/21/2015,208
Cumulative number of confirmed Ebola cases,Guinea,8/21/2015,3334
Cumulative number of probable Ebola cases,Guinea,8/21/2015,452
Cumulative number of suspected Ebola cases,Guinea,8/21/2015,9
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/21/2015,2526
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/21/2015,6
Cumulative number of confirmed Ebola deaths,Liberia 2,8/21/2015,2
Cumulative number of confirmed Ebola cases,Liberia 2,8/21/2015,6
Cumulative number of probable Ebola cases,Liberia 2,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/21/2015,2
Cumulative number of confirmed Ebola cases,Italy,8/21/2015,1
Cumulative number of probable Ebola cases,Italy,8/21/2015,0
Cumulative number of suspected Ebola cases,Italy,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/21/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/21/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/21/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/21/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/21/2015,7
Cumulative number of probable Ebola cases,Mali,8/21/2015,1
Cumulative number of suspected Ebola cases,Mali,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/21/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/21/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/21/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/21/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/21/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/21/2015,1
Cumulative number of probable Ebola cases,Senegal,8/21/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/21/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/21/2015,1
Cumulative number of probable Ebola cases,Spain,8/21/2015,0
Cumulative number of suspected Ebola cases,Spain,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/21/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/21/2015,4
Cumulative number of probable Ebola cases,United States of America,8/21/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/21/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/21/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/21/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/21/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/21/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/21/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/21/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/21/2015,0
Cumulative number of probable Ebola deaths,Spain,8/21/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/21/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/21/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/21/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/21/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/21/2015,1
Cumulative number of probable Ebola cases,Guinea,8/24/2015,452
Cumulative number of suspected Ebola cases,Guinea,8/24/2015,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/24/2015,2527
Cumulative number of confirmed Ebola deaths,Guinea,8/24/2015,2075
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/24/2015,3790
Cumulative number of confirmed Ebola cases,Liberia,8/24/2015,3151
Cumulative number of confirmed Ebola cases,Sierra Leone,8/24/2015,8697
Cumulative number of confirmed Ebola cases,Guinea,8/24/2015,3334
Cumulative number of probable Ebola deaths,Guinea,8/24/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/24/2015,10666
Cumulative number of probable Ebola cases,Liberia,8/24/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/24/2015,13538
Cumulative number of probable Ebola cases,Sierra Leone,8/24/2015,287
Cumulative number of suspected Ebola cases,Liberia,8/24/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/24/2015,4806
Cumulative number of suspected Ebola cases,Sierra Leone,8/24/2015,4554
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/24/2015,3952
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/24/2015,3586
Cumulative number of probable Ebola deaths,Sierra Leone,8/24/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,8/24/2015,158
Cumulative number of confirmed Ebola cases,Liberia 2,8/24/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/24/2015,6
Cumulative number of probable Ebola cases,Liberia 2,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/24/2015,2
Cumulative number of confirmed Ebola deaths,Liberia 2,8/24/2015,2
Cumulative number of confirmed Ebola cases,Italy,8/24/2015,1
Cumulative number of probable Ebola cases,Italy,8/24/2015,0
Cumulative number of suspected Ebola cases,Italy,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/24/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/24/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/24/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/24/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/24/2015,7
Cumulative number of probable Ebola cases,Mali,8/24/2015,1
Cumulative number of suspected Ebola cases,Mali,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/24/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/24/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/24/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/24/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/24/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/24/2015,1
Cumulative number of probable Ebola cases,Senegal,8/24/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/24/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/24/2015,1
Cumulative number of probable Ebola cases,Spain,8/24/2015,0
Cumulative number of suspected Ebola cases,Spain,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/24/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/24/2015,4
Cumulative number of probable Ebola cases,United States of America,8/24/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/24/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/24/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/24/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/24/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/24/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/24/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/24/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/24/2015,0
Cumulative number of probable Ebola deaths,Spain,8/24/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/24/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/24/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/24/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/24/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/24/2015,1
Cumulative number of probable Ebola deaths,Sierra Leone,8/25/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,8/25/2015,158
Cumulative number of confirmed Ebola cases,Guinea,8/25/2015,3335
Cumulative number of suspected Ebola cases,Guinea,8/25/2015,5
Cumulative number of probable Ebola cases,Liberia,8/25/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/25/2015,4806
Cumulative number of probable Ebola cases,Sierra Leone,8/25/2015,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/25/2015,3952
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/25/2015,2527
Cumulative number of confirmed Ebola deaths,Guinea,8/25/2015,2075
Cumulative number of probable Ebola deaths,Guinea,8/25/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/25/2015,10666
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/25/2015,13541
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/25/2015,3792
Cumulative number of probable Ebola cases,Guinea,8/25/2015,452
Cumulative number of confirmed Ebola cases,Liberia,8/25/2015,3151
Cumulative number of suspected Ebola cases,Liberia,8/25/2015,5636
Cumulative number of confirmed Ebola cases,Sierra Leone,8/25/2015,8697
Cumulative number of suspected Ebola cases,Sierra Leone,8/25/2015,4557
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/25/2015,3586
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/25/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,8/25/2015,6
Cumulative number of confirmed Ebola deaths,Liberia 2,8/25/2015,2
Cumulative number of probable Ebola cases,Liberia 2,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/25/2015,2
Cumulative number of confirmed Ebola cases,Italy,8/25/2015,1
Cumulative number of probable Ebola cases,Italy,8/25/2015,0
Cumulative number of suspected Ebola cases,Italy,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/25/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/25/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/25/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/25/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/25/2015,7
Cumulative number of probable Ebola cases,Mali,8/25/2015,1
Cumulative number of suspected Ebola cases,Mali,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/25/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/25/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/25/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/25/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/25/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/25/2015,1
Cumulative number of probable Ebola cases,Senegal,8/25/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/25/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/25/2015,1
Cumulative number of probable Ebola cases,Spain,8/25/2015,0
Cumulative number of suspected Ebola cases,Spain,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/25/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/25/2015,4
Cumulative number of probable Ebola cases,United States of America,8/25/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/25/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/25/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/25/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/25/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/25/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/25/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/25/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/25/2015,0
Cumulative number of probable Ebola deaths,Spain,8/25/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/25/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/25/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/25/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/25/2015,1
Cumulative number of probable Ebola cases,Liberia,8/26/2015,1879
Cumulative number of suspected Ebola cases,Liberia,8/26/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/26/2015,10666
Cumulative number of suspected Ebola deaths,Sierra Leone,8/26/2015,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/26/2015,3952
Cumulative number of confirmed Ebola cases,Guinea,8/26/2015,3335
Cumulative number of suspected Ebola cases,Guinea,8/26/2015,5
Cumulative number of probable Ebola deaths,Guinea,8/26/2015,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/26/2015,2527
Cumulative number of confirmed Ebola cases,Sierra Leone,8/26/2015,8697
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,8/26/2015,1
Cumulative number of probable Ebola deaths,Sierra Leone,8/26/2015,208
Cumulative number of probable Ebola cases,Guinea,8/26/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/26/2015,3792
Cumulative number of confirmed Ebola deaths,Guinea,8/26/2015,2075
Cumulative number of confirmed Ebola cases,Liberia,8/26/2015,3151
Cumulative number of probable Ebola cases,Sierra Leone,8/26/2015,287
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/26/2015,3586
Number of confirmed Ebola cases in the last 21 days,Guinea,8/26/2015,8
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,8/26/2015,8
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/26/2015,4806
Cumulative number of suspected Ebola cases,Sierra Leone,8/26/2015,4557
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/26/2015,13541
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,8/26/2015,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia 2,8/26/2015,0
Cumulative number of confirmed Ebola deaths,Liberia 2,8/26/2015,2
Cumulative number of probable Ebola cases,Liberia 2,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/26/2015,6
Number of confirmed Ebola cases in the last 21 days,Liberia 2,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/26/2015,2
Cumulative number of confirmed Ebola cases,Liberia 2,8/26/2015,6
Cumulative number of confirmed Ebola cases,Italy,8/26/2015,1
Cumulative number of probable Ebola cases,Italy,8/26/2015,0
Cumulative number of suspected Ebola cases,Italy,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/26/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/26/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/26/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/26/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/26/2015,7
Cumulative number of probable Ebola cases,Mali,8/26/2015,1
Cumulative number of suspected Ebola cases,Mali,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/26/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/26/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/26/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/26/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/26/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/26/2015,1
Cumulative number of probable Ebola cases,Senegal,8/26/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/26/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/26/2015,1
Cumulative number of probable Ebola cases,Spain,8/26/2015,0
Cumulative number of suspected Ebola cases,Spain,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/26/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/26/2015,4
Cumulative number of probable Ebola cases,United States of America,8/26/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/26/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/26/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/26/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/26/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/26/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/26/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/26/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/26/2015,0
Cumulative number of probable Ebola deaths,Spain,8/26/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/26/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/26/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/26/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/26/2015,1
Cumulative number of probable Ebola deaths,Guinea,8/27/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/27/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,8/27/2015,3151
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/27/2015,13582
Cumulative number of confirmed Ebola cases,Sierra Leone,8/27/2015,8697
Cumulative number of probable Ebola cases,Sierra Leone,8/27/2015,287
Cumulative number of suspected Ebola cases,Guinea,8/27/2015,9
Cumulative number of confirmed Ebola deaths,Guinea,8/27/2015,2076
Cumulative number of probable Ebola cases,Liberia,8/27/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/27/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/27/2015,3952
Cumulative number of probable Ebola deaths,Sierra Leone,8/27/2015,208
Cumulative number of probable Ebola cases,Guinea,8/27/2015,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/27/2015,2528
Cumulative number of suspected Ebola cases,Liberia,8/27/2015,5636
Cumulative number of suspected Ebola cases,Sierra Leone,8/27/2015,4598
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/27/2015,3586
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/27/2015,3797
Cumulative number of confirmed Ebola cases,Guinea,8/27/2015,3336
Cumulative number of suspected Ebola deaths,Sierra Leone,8/27/2015,158
Cumulative number of confirmed Ebola deaths,Liberia 2,8/27/2015,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/27/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/27/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,8/27/2015,6
Cumulative number of probable Ebola cases,Liberia 2,8/27/2015,0
Cumulative number of confirmed Ebola cases,Italy,8/27/2015,1
